1,Edson,Arantes Nascimento,Brazil,Icons,MID,98
2,Diego,Maradona,Argentina,Icons,MID,97
3,Ronaldo Luís,Nazário de Lima,Brazil,Icons,ATT,96
4,Edson,Arantes Nascimento,Brazil,Icons,ATT,95
5,C. Ronaldo,dos Santos Aveiro,Portugal,Juventus,ATT,94
6,Ronaldo,de Assis Moreira,Brazil,Icons,ATT,94
7,Lionel,Messi,Argentina,FC Barcelona,ATT,94
8,Johan,Cruyff,Holland,Icons,ATT,94
9,Ronaldo Luís,Nazário de Lima,Brazil,Icons,ATT,94
10,Lev,Yashin,Russia,Icons,GK,94
11,Paolo,Maldini,Italy,Icons,DEF,94
12,Roberto,Baggio,Italy,Icons,MID,93
13,Thierry,Henry,France,Icons,ATT,93
14,Franco,Baresi,Italy,Icons,DEF,93
15,Marco,van Basten,Holland,Icons,ATT,93
16,Ruud,Gullit,Holland,Icons,ATT,93
17,George,Best,Northern Ireland,Icons,ATT,93
18,Lothar,Matthäus,Germany,Icons,MID,93
19,Eusébio,da Silva Ferreira,Portugal,Icons,ATT,93
20,Ryan,Giggs,Wales,Icons,MID,92
21,Javier,Zanetti,Argentina,Icons,DEF,92
22,Alessandro,Nesta,Italy,Icons,DEF,92
23,Fabio,Cannavaro,Italy,Icons,DEF,92
24,Rivaldo Vítor,Borba Ferreira,Brazil,Icons,ATT,92
25,Hristo,Stoichkov,Bulgaria,Icons,ATT,92
26,Luís Filipe,Madeira Caeiro Figo,Portugal,Icons,ATT,92
27,Ruud,van Nistelrooy,Holland,Icons,ATT,92
28,Raúl,González Blanco,Spain,Icons,ATT,92
29,Bobby,Moore,England,Icons,DEF,92
30,Neymar,da Silva Santos Jr.,Brazil,Paris Saint-Germain,ATT,92
31,Emilio,Butragueño Santos,Spain,Icons,ATT,92
32,Gary,Lineker,England,Icons,ATT,92
33,Alessandro,Del Piero,Italy,Icons,ATT,92
34,Carles,Puyol Saforcada,Spain,Icons,DEF,92
35,Dennis,Bergkamp,Holland,Icons,ATT,92
36,Peter,Schmeichel,Denmark,Icons,GK,92
37,Paolo,Maldini,Italy,Icons,DEF,92
38,Alan,Shearer,England,Icons,ATT,91
39,Paul,Scholes,England,Icons,MID,91
40,Marcel,Desailly,France,Icons,DEF,91
41,Clarence,Seedorf,Holland,Icons,MID,91
42,Robert,Pirès,France,Icons,MID,91
43,Michael,Ballack,Germany,Icons,MID,91
44,Michael,Owen,England,Icons,ATT,91
45,David,Trezeguet,France,Icons,ATT,91
46,Pavel,Nedv?d,Czech Republic,Icons,MID,91
